prodnombre,kg_por_bolsa,bolsas_cerradas,kg_abiertos
MASGOOD PREMIUM GATO X 15+2 KG (GOMENSORO),"17,00",1,
MASGOOD PREMIUM GATO X 3 KG (GOMENSORO),"3,00",1,
MASGOOD PREMIUM GATO X 8 KG (GOMENSORO),"8,00",1,
MASGOOD PREMIUM R/MyG x 15 KG (GOMENSORO),"15,00",1,
MASGOOD PREMIUM R/MyG x 20 KG (GOMENSORO),"20,00",1,
MASGOOD PREMIUM R/MyG x 3 KG (GOMENSORO),"3,00",1,
MASGOOD PREMIUM R/PEQ X 10 KG (GOMENSORO),"10,00",1,
MASGOOD PREMIUM R/PEQ X 19 +1 KG (GOMENSORO),"20,00",1,
MASGOOD PREMIUM R/PEQ X 3 KG (GOMENSORO),"3,00",1,
MASTER CROCK ADULTO M Y L x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
MASTER CROCK ADULTO M Y L x20kg (DISTRIBUIDORA MAIPÚ),"20,00",1,
MASTER CROCK ADULTO M Y L x2kg (DISTRIBUIDORA MAIPÚ),"2,00",1,
MASTER CROCK ADULTO SMALL x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
MASTER CROCK ADULTO SMALL x2kg (DISTRIBUIDORA MAIPÚ),"2,00",1,
MASTER CROCK CACHORRO M Y L x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
MASTER CROCK CACHORRO SMALL x1kg (DISTRIBUIDORA MAIPÚ),"1,00",1,
MASTER CROCK CACHORRO SMALL x8kg (DISTRIBUIDORA MAIPÚ),"8,00",1,
MASTER CROCK GATO CASTRADO - ESTERILIZADO x1kg (DISTRIBUIDORA MAIPÚ),"1,00",1,
MASTER CROCK GATO CASTRADO - ESTERILIZADO x7kg (DISTRIBUIDORA MAIPÚ),"7,00",1,
MASTER CROCK GATO URINARY x1kg (DISTRIBUIDORA MAIPÚ),"1,00",1,
MASTER CROCK GATO URINARY x7kg (DISTRIBUIDORA MAIPÚ),"7,00",1,
MASTER CROCK LIGHT M Y L x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
MAXIUM ADULTO 15,"15,00",1,
MAXIUM ADULTO 20,"20,00",1,
MAXIUM CACHORRO 15 KG,"15,00",1,
MAXIUM CORDERO 15 KG,"15,00",1,
MAXIUM CORDERO 3 KG,"3,00",1,
MEZCLA CANARIO 10 KG (SALADILLO),"10,00",1,
NUTRICARE ADULTO RG x20kg (LUCHEZZE),"20,00",1,
"NUTRICARE ADULTO RG x7,5kg (LUCHEZZE)","7,50",1,
NUTRICARE ADULTO RP x20kg (LUCHEZZE),"20,00",1,
"NUTRICARE ADULTO RP x7,5kg (LUCHEZZE)","7,50",1,
NUTRICARE CACHORRO x15kg (LUCHEZZE),"15,00",1,
"Nutricare gato adulto x 7,5 kg","7,50",1,
"NUTRICARE GATO ADULTO X7,5kg (LUCHEZZE)","7,50",1,
ODWALLA ADULTO X 22 KG (EL CHOIQUE),"22,00",1,
OLD PRINCE ADULTO M&L X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE ADULTO M&L X 20 KG (GOMENSORO),"20,00",1,
OLD PRINCE ADULTO M&L X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE ADULTO M&L X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE ADULTO RP X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE ADULTO RP X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE ADULTO RP X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE CERDO LEGUMBRE ADULTO X 15 KG(GOMENSORO),"15,00",1,
OLD PRINCE CERDO LEGUMBRE ADULTOX 3 KG(GOMENSORO),"3,00",1,
OLD PRINCE CONTROL DE PESO X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ ADULTO MYL X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ ADULTO MYL X 3 KG  (GOMENSORO),"3,00",1,
OLD PRINCE COR/ARROZ ADULTO RP X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ ADULTO RP X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE COR/ARROZ ADULTO RP X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE COR/ARROZ CACHORRO X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ CACHORRO X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE GATO ADULTO COR/ARROZ X 1 KG (GOMENSORO),"1,00",1,
OLD PRINCE GATO ADULTO COR/ARROZ X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO ADULTO COR/ARROZ X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE GATO ADULTO ESTERILIZADO COR/ARROZ X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO ADULTO ESTERILIZADO COR/ARROZ X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE GATO ADULTO ESTERILIZADO X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO ADULTO ESTERILIZADO X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE GATO KITTEN  X 1 KG (GOMENSORO),"1,00",1,
OLD PRINCE GATO KITTEN  X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE GATO KITTEN COR/ARROZ X 1 KG (GOMENSORO),"1,00",1,
OLD PRINCE GATO KITTEN COR/ARROZ X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE GATO URINARY X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO URINARY X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE PREMIUM ADULTO X 20 KG (GOMENSORO),"20,00",1,
OLD PRINCE PREMIUM ADULTO X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE PREMIUM CACHORRO X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE PREMIUM CORDERO/ARROZ X 15 KG (GOMENSORO),"15,00",1,
"OLD PRINCE PREMIUM GATITO X 7,5KG (GOMENSORO)","7,50",1,
"OLD PRINCE PREMIUM GATO X 7,5KG (GOMENSORO)","7,50",1,
OLD PRINCE PUPPIES M&L 15 X KG (GOMENSORO),"15,00",1,
OLD PRINCE PUPPIES M&L X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE PUPPIES M&L X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE PUPPIES RP X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE PUPPIES RP X 7,5 KG (GOMENSORO)","7,50",1,
OLP PRINCE GATO COMPLETE X 3 KG (GOMENSORO),"3,00",1,
"OLP PRINCE GATO COMPLETE X 7,5 KG (GOMENSORO)","7,50",1,
OPTIMUM ADULTO RAZA MEDIANA/GRANDE x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
OPTIMUM ADULTO RAZA PEQUEÑA x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
OPTIMUM ADULTO RAZA PEQUEÑA x3kg (DISTRIBUIDORA MAIPÚ),"3,00",1,
OPTIMUM CACHORRO RAZA MEDIANA/GRANDE x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
OPTIMUM CACHORRO RAZA MEDIANA/GRANDE x3kg (DISTRIBUIDORA MAIPÚ),"3,00",1,
OPTIMUM CACHORRO RAZA PEQUEÑA x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
OPTIMUM CACHORRO RAZA PEQUEÑA x3kg (DISTRIBUIDORA MAIPÚ),"3,00",1,
OPTIMUM GATO ADULTO x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
OPTIMUM GATO ADULTO x3kg (DISTRIBUIDORA MAIPÚ),"3,00",1,
OPTIMUM GATO CASTRADO x3kg (DISTRIBUIDORA MAIPÚ),"3,00",1,
ORIGEN BY COMPANY X20KG (GOMENSORO),"20,00",1,
PACHA CACHORRO 10 KG,"10,00",1,
PACHA GATO PESCADO 10 KG,"10,00",1,
PACHA MIX 10 KG,"10,00",1,
PACHA MIX 15 KG,"15,00",1,
PACHA MIX 22 KG,"22,00",1,
PALITOS,"200,00",1,
PEDIGREE ADULTO RG x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
PEDIGREE ADULTO RG x21kg (DISTRIBUIDORA MAIPÚ),"21,00",1,
PEDIGREE ADULTO RP x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
PEDIGREE ADULTO RP x8kg (DISTRIBUIDORA MAIPÚ),"8,00",1,
PEDIGREE CACHORRO x21kg (DISTRIBUIDORA MAIPÚ),"21,00",1,
PEDIGREE CACHORRO x8kg (DISTRIBUIDORA MAIPÚ),"8,00",1,
PEDIGREE HIGH PRO CARNE Y POLLO x21kg (DISTRIBUIDORA MAIPÚ),"21,00",1,
PEDIGREE SENIOR x8kg (DISTRIBUIDORA MAIPÚ),"8,00",1,
PERFORMANCE ADULTO x15kg (LUCHEZZE),"15,00",1,
PERFORMANCE ADULTO x20kg (LUCHEZZE),"20,00",1,
PERFORMANCE CACHORRO x15kg (LUCHEZZE),"15,00",1,
"PERFORMANCE GATO ADULTO x7,5kg (LUCHEZZE)","7,50",1,
"PERFORMANCE GATO KITTEN x7,5kg (LUCHEZZE)","7,50",1,
PERFORMANCE LIGHT x15kg (LUCHEZZE),"15,00",1,
PERRO LAC,"0,50",1,
"PIEDRAS AGLOMERANTES RUBICAT CLASSIC x5,3kg","5,30",1,
"PIEDRAS AGLOMERANTES RUBICAT LAVANDA x5,3kg","5,30",1,
PIEDRAS AGLUTINANTES x20kg,"25,00",1,
PIEDRAS SANITARIAS x20kg (SALADILLO),"20,00",1,
POMPY GATO ADULTO x10kg,"10,00",1,
POMPY PERRO ADULTO x15kg,"15,00",1,
POUCH OPTIMUM (D.MAIPÚ O HECTOR BUENO),"0,85",1,
POUCH WHISKAS/PEDIGREE (D.MAIPÚ O HECTOR BUENO),"0,85",1,
PRO PLAN ADULTO +7 S/B X3KG (GOMENSORO),"3,00",1,
"PRO PLAN ADULTO +7 S/B X7,5KG (GOMENSORO)","7,50",1,
PRO PLAN BAJAS CALORIAS M/L X3KG (GOMENSORO),"3,00",1,
PRO PLAN BAJAS CALORIAS SMALL X3KG (GOMENSORO),"3,00",1,
PRO PLAN GATO ADULTO X3KG (GOMENSORO),"3,00",1,
PRO PLAN GATO KITTEN 1 KG (SALADILLO),"1,00",1,
PRO PLAN GATO URINARY 1 KG (SALADILLO),"1,00",1,
PRO PLAN PERRO ADULTO MEDIUM X 3 KG,"3,00",1,
PRO PLAN PERRO ADULTO MYL X 12 kg,"12,00",1,
PRO PLAN PERRO PUPPY SMALL X3KG (GOMENSORO),"3,00",1,
PRO PLAN PERRO RAZA PEQUEÑA X3KG (GOMENSORO),"3,00",1,
PRO PLAN PERRO SKIN CARE M/L X3KG (GOMENSORO),"3,00",1,
PRO PLAN PERRO SKIN CARE S/B X3KG (GOMENSORO),"3,00",1,
PRO QUALITY CACHORRO X 21 KG,"21,00",1,
PRO QUALITY CRIADORES X 20 KG,"20,00",1,
PRO QUALITY GATO X 8 KG,"8,00",1,
PRO QUALITY MORDIDA PEQUEÑA x 20 KG,"20,00",1,
PRO QUALITY SUPER PREMIUM CACHORRO X 15 KG,"15,00",1,
PRO QUALITY SUPER PREMIUM MORD. PEQU.X 20 KG,"20,00",1,
PRO QUALITY SUPER PREMIUM X 20 KG,"20,00",1,
PROPLAN GATO ADULTO +7  AÑOS x3kg (GOMENSORO),"3,00",1,
PROPLAN GATO ADULTO x15kg (SALADILLO),"15,00",1,
PROPLAN GATO ADULTO x3kg (SALADILLO),"3,00",1,
"PROPLAN GATO ADULTO x7,5kg (SALADILLO)","7,50",1,
PROPLAN GATO ESTERILIZADO 1kg (SALADILLO),"1,00",1,
"PROPLAN GATO ESTERILIZADO X7,5kg (SALADILLO)","7,50",1,
"PROPLAN GATO RED.CALOR. x7,5kg (SALADILLO)","7,50",1,
PROPLAN GATO URINARY x15kg (SALADILLO),"15,00",1,
PROPLAN GATO URINARY x3kg (SALADILLO),"3,00",1,
"PROPLAN GATO URINARY x7,5kg (GOMENSORO)","7,50",1,
PROPLAN KITTEN x3kg (GOMENSORO),"3,00",1,
"PROPLAN PERRO ADULTO RP x7,5kg (SALADILLO)","7,50",1,
PROPLAN PERRO ADULTO x15kg (SALADILLO),"15,00",1,
PROPLAN PERRO ADULTO x3kg (SALADILLO),"3,00",1,
PROPLAN PERRO PUPPY RG x15kg (SALADILLO),"15,00",1,
PROPLAN PERRO PUPPY RG x3kg (SALADILLO),"3,00",1,
"PROPLAN PERRO PUPPY RP x7,5kg (SALADILLO)","7,50",1,
PROPLAN PERRO PUPPY x1kg (SALADILLO),"1,00",1,
RAZA GATITO X 8 KG (GOMENSORO),"8,00",1,
RAZA GATO ADULTO x10kg (GOMENSORO),"10,00",1,
"RAZA PERRO +7 AÑOS X1,5KG (GOMENSORO)","1,50",1,
RAZA PERRO +7 AÑOS X15KG (GOMENSORO),"15,00",1,
RAZA PERRO ADULTO RAZA PEQUEÑA X15KG (GOMENSORO),"15,00",1,
RAZA PERRO ADULTO RAZA PEQUEÑA X21KG (GOMENSORO),"21,00",1,
RAZA PERRO ADULTO x14+2kg (GOMENSORO),"16,00",1,
RAZA PERRO ADULTO x21kg (GOMENSORO),"21,00",1,
RAZA PERRO BAJAS CALORÍAS X15KG (GOMENSORO),"15,00",1,
RAZA PERRO CACHORRO x15kg (GOMENSORO),"15,00",1,
ROYAL CANIN DIABETIC PERRO x10kg (SALADILLO),"10,00",1,
ROYAL CANIN DIABETIC PERRO x2kg (SALADILLO),"2,00",1,
"Royal Canin Hairball care x 1,5KG (LUCHEZZE)","1,50",1,
"ROYAL CANIN KITTEN x1,5kg (SALADILLO)","1,50",1,
ROYAL CANIN MAXI ADULTO x15kg (SALADILLO),"15,00",1,
ROYAL CANIN MAXI ADULTO x3kg (SALADILLO),"3,00",1,
ROYAL CANIN MAXI JUNIOR x15kg (SALADILLO),"15,00",1,
ROYAL CANIN MAXI JUNIOR x3kg (SALADILLO),"3,00",1,
ROYAL CANIN MEDIUM ADULTO x15kg (SALADILLO),"15,00",1,
ROYAL CANIN MEDIUM ADULTO x3kg (SALADILLO),"3,00",1,
ROYAL CANIN MEDIUM JUNIOR x15kg (SALADILLO),"15,00",1,
ROYAL CANIN MEDIUM JUNIOR x3kg (SALADILLO),"3,00",1,
ROYAL CANIN MINI ADULT x3kg (SALADILLO),"3,00",1,
ROYAL CANIN MINI ADULTO x1kg (SALADILLO),"1,00",1,
"ROYAL CANIN MINI ADULTO x7,5kg (SALADILLO)","7,50",1,
ROYAL CANIN MINI JUNIOR x1kg (SALADILLO),"1,00",1,
ROYAL CANIN MINI JUNIOR x3kg (SALADILLO),"3,00",1,
"ROYAL CANIN MINI JUNIOR x7,5kg (SALADILLO)","7,50",1,
ROYAL CANIN PERRO RENAL PERRO x10kg (SALADILLO),"10,00",1,
ROYAL CANIN POODLE ADULTO x1kg (SALADILLO),"1,00",1,
"Royal Canin Satiety Feline x 1,5 kg (LUCHEZZE)","1,50",1,
"ROYAL CANIN URINARY GATO x7,5kg (SALADILLO)","7,50",1,
ROYAL CANIN URINARY PERRO x10kg (SALADILLO),"10,00",1,
"ROYAL CANIN WEIGTH CONTROL GATO 1,5 KG (SALADILLO)","1,50",1,
ROYAL CANIN YORKSHIRE x1kg (SALADILLO),"1,00",1,
SABROSITOS CACHORRO x18kg (DISTRIBUIDORA MAIPÚ),"18,00",1,
SABROSITOS CACHORRO x3kg (DISTRIBUIDORA MAIPÚ),"3,00",1,
SABROSITOS CACHORRO x8kg (DISTRIBUIDORA MAIPÚ),"8,00",1,
SABROSITOS GATO MIX x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
SABROSITOS GATO MIX x20kg (DISTRIBUIDORA MAIPÚ),"20,00",1,
SABROSITOS GATO PESCADO x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
SABROSITOS GATO PESCADO x20kg (DISTRIBUIDORA MAIPÚ),"20,00",1,
Sabrositos mix mordida pequeña x 15kg,"15,00",1,
Sabrositos mix mordida pequeña x 15kg,"15,00",1,
SABROSITOS PERRO ADUL x 15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
SABROSITOS PERRO ADUL x22kg (DISTRIBUIDORA MAIPÚ),"22,00",1,
SIEGER ADULTO RG x15kg (SALADILLO),"15,00",1,
SIEGER ADULTO RG x3KG (SALADILLO),"3,00",1,
SIEGER ADULTO RP x12KG (SALADILLO),"12,00",1,
SIEGER ADULTO RP x3KG (SALADILLO),"3,00",1,
SIEGER CACHORRO RG x15KG (SALADILLO),"15,00",1,
SIEGER CACHORRO RG x3KG (SALADILLO),"3,00",1,
SIEGER CACHORRO RP x12kg (SALADILLO),"12,00",1,
SIEGER CACHORRO RP x3KG (SALADILLO),"3,00",1,
SIEGER GATO ADULTO x10KG (SALADILLO),"10,00",1,
SIEGER GATO ADULTO x1KG (SALADILLO),"1,00",1,
SIEGER GATO URINARY x1KG (SALADILLO),"1,00",1,
SIEGER LIGTH x12kg (SALADILLO),"12,00",1,
SIEGER PERRO LIGTH x3KG (SALADILLO),"3,00",1,
"SIEGER ULTRA OSTEOARTICULAR x1,5KG (SALADILLO)","1,50",1,
SIETE VIDAS 10 KG,"10,00",1,
Simpli crock adulto x 10 kg,"10,00",1,
Simpli crock adulto x 15 kg,"15,00",1,
Simpli crock adulto x 22 kg,"22,00",1,
Simpli crock cachorro x 10 kg,"10,00",1,
Simpli crock cachorro x 22 kg,"22,00",1,
SUPER PET PERRO ADULTO x22kg,"22,00",1,
TOP NUTRITION ADULTOS GRANDE X15KG (EL CHOIQUE),"15,00",1,
TOP NUTRITION ADULTOS MEDIANA  X15KG (EL CHOIQUE),"15,00",1,
TOP NUTRITION ADULTOS RP X 3 KG (EL CHOIQUE),"3,00",1,
"TOP NUTRITION ADULTOS RP X 7,5 KG (EL CHOIQUE)","7,50",1,
TOP NUTRITION CACHORRO GRANDE X15KG (EL CHOIQUE),"15,00",1,
TOP NUTRITION CACHORRO MEDIANA X15KG (EL CHOIQUE),"15,00",1,
TOP NUTRITION CACHORRO RP X 3 KG (EL CHOIQUE),"3,00",1,
"TOP NUTRITION CACHORRO RP X 7,5 KG (EL CHOIQUE)","7,50",1,
TOP NUTRITION GATO ADULTO X2KG (EL CHOIQUE),"2,00",1,
"TOP NUTRITION GATO ADULTO X7,5KG (EL CHOIQUE)","7,50",1,
TOP NUTRITION GATO SENIOR X2KG (EL CHOIQUE),"2,00",1,
TOP NUTRITION KITTEN X2KG (GEPSA),"2,00",1,
TOP NUTRITION PIEL SENSIBLE X15KG,"15,00",1,
TOP NUTRITION PIEL SENSIBLE X3KG,"3,00",1,
TOP NUTRITION SENIOR RM Y G X3KG (EL CHOIQUE),"3,00",1,
TOP NUTRITION SENIOR RP X3KG (EL CHOIQUE),"3,00",1,
ULYSES GATO ADULTO x10kg,"10,00",1,
Upper crock premium kitten x 1 kg,"1,00",1,
UPPER GATO ADULTO x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
UPPER KITTEN x7kg (DISTRIBUIDORA MAIPÚ),"7,00",1,
UPPER PERRO ADUL RG x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
UPPER PERRO ADUL RG x21kg (DISTRIBUIDORA MAIPÚ),"21,00",1,
UPPER PERRO ADUL RP x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
UPPER PERRO ADUL RP x8kg (DISTRIBUIDORA MAIPÚ),"8,00",1,
UPPER PERRO CACHO x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
UPPER PERRO CACHO x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
UPPER SUPER PREMIUM CERDO Y ARROZ x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
VAGONETA GATO ADULTO X10KG (DISTRIBUIDORA SEDA),"10,00",1,
VAGONETA GATO ADULTO X20KG (DISTRIBUIDORA SEDA),"20,00",1,
VAGONETA KITTEN X10KG (DISTRIBUIDORA SEDA),"10,00",1,
VAGONETA KITTEN X20KG (DISTRIBUIDORA SEDA),"20,00",1,
VAGONETA PERRO ADULTO X15KG (DISTRIBUIDORA SEDA),"15,00",1,
VAGONETA PERRO ADULTO X20KG (DISTRIBUIDORA SEDA),"20,00",1,
VAGONETA PERRO CACHORRO x15kg (DISTRIBUIDORA SEDA),"15,00",1,
VIRUTA PRENSADA (EL CHOIQUE),"5,00",1,
VORAZ CACHORRO X15KG (GOMENSORO),"15,00",1,
VORAZ GATITO x15kg (GOMENSORO),"15,00",1,
VORAZ GATO ADULTO x10kg (GOMENSORO),"10,00",1,
VORAZ GATO X 20 KG (GOMENSORO),"20,00",1,
VORAZ PERRO ADULTO x10kg (GOMENSORO),"10,00",1,
VORAZ PERRO ADULTO x15kg (GOMENSORO),"15,00",1,
VORAZ PERRO ADULTO x20kg (GOMENSORO),"20,00",1,
VORAZ PERRO ADULTO x22kg +3kg (SALADILLO),"25,00",1,
VORAZ PERRO CACHO x10kg (GOMENSORO),"10,00",1,
VORAZ PERRO CACHO x20kg (GOMENSORO),"20,00",1,
WHISKAS ADULTO CARNE x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
WHISKAS ADULTO PESCADO x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
WHISKAS ADULTO POLLO x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
WHISKAS KITTEN CARNE Y LECHE x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
Whiskas snack carne x 40 gr,"0,40",1,
Whiskas snack carne x 80 gr,"0,80",1,
Whiskas snack pollo x 40 gr,"0,40",1,
Whiskas snack pollo x 80 gr,"0,80",1,
Whiskas snack salmón x 40 gr,"0,40",1,
Whiskas snack salmón x 80 gr,"0,80",1,
ZIMPI GATO ADULTO x10kg (EL CHOIQUE),"10,00",1,
ZIMPI GATO ADULTO x15kg (EL CHOIQUE),"15,00",1,
ZIMPI PERRO ADULTO x15kg (EL CHOIQUE),"15,00",1,
ZIMPI PERRO ADULTO x25kg (EL CHOIQUE),"25,00",1,
SABROSITOS GATO MIX X 1 KG,"1,00",1,
SABROSITOS GATO MIX X 3 KG,"3,00",1,